gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
SCN1A,Sanford CoRDS,,,platform description,recorded under: Dravet syndrome,https://research.sanfordhealth.org/rare-disease-registry
SCN2A,NORD IAMRARE,Dragonfly,https://scn2a.iamrare.org/,registry URL host,,https://rarediseases.org/iamrare-registry-program/
SCN2A,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SCN2A,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SCN2A,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
SCN8A,Foundation-hosted,Wishes for Elliott registry partnership,https://scn8aalliance.org/scn8a-registry/,own website,,
SCN8A,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SCN8A,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
SETBP1,Foundation-hosted,SETBP1 Society registry,,platform description,,
SETBP1,Citizen Health,,,platform description,,https://www.citizen.health/
SETBP1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SETBP1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SETBP1,Sanford CoRDS,,,platform description,recorded under: SETBP1 disorder,https://research.sanfordhealth.org/rare-disease-registry
SHANK3,Foundation-hosted,"PMSF International Registry (Matrix platform, early adopter)",https://pmsf.org/datahub/,own website,,
SHANK3,Matrix,"Across Healthcare, PMSF was first adopter",,platform description,,
SHANK3,REDCap,Mt Sinai Seaver Center,,platform description,,
SHANK3,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SHANK3,Sanford CoRDS,,,platform description,recorded under: Phelan-McDermid syndrome,https://research.sanfordhealth.org/rare-disease-registry
SLC13A5,Foundation-hosted,TESS Foundation registry; TESS Research Foundation registry,https://www.tessresearch.org/join-registry/,own website,,
SLC13A5,ClinicalTrials.gov,NCT04181307,,platform description,,
SLC13A5,Pulse Infoframe,Ciitizen/Invitae,,platform description,,https://pulseinfoframe.com/
SLC13A5,Sanford CoRDS,,,platform description,recorded under: SLC13A5 deficiency,https://research.sanfordhealth.org/rare-disease-registry
SLC6A1,Foundation-hosted,SLC6A1 Connect registry,https://slc6a1connect.org/registry/,own website,,
SLC6A1,Citizen Health,,,platform description,,https://www.citizen.health/
SLC6A1,REDCap,"Brain Gene Registry, Childrens National",,platform description,,
SLC6A1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SLC6A1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SLC6A1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
STXBP1,Foundation-hosted,STXBP1 NH Study (NCT06555965),https://www.stxbp1disorders.org/contact-list,own website,,
STXBP1,ClinicalTrials.gov,"NCT06555965, joint with SYNGAP1",,platform description,,
STXBP1,REDCap,"Brain Gene Registry, Childrens National",,platform description,,
STXBP1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
STXBP1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
STXBP1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
SYNGAP1,Foundation-hosted,SYNGAP1 Patient Registry,https://curesyngap1.org/join-the-citizen-registry/,own website,,
SYNGAP1,ClinicalTrials.gov,"NCT06555965, joint with STXBP1",,platform description,,
SYNGAP1,REDCap,"Brain Gene Registry, Childrens National",,platform description,,
SYNGAP1,Citizen Health,,,platform description,,https://www.citizen.health/
SYNGAP1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SYNGAP1,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SYNGAP1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
TANGO2,Foundation-hosted,T2RF registry,,platform description,,
TANGO2,REDCap,Baylor,,platform description,,
TANGO2,Sanford CoRDS,,,platform description,recorded under: TANGO2-related metabolic encephalopathy and arrhythmias,https://research.sanfordhealth.org/rare-disease-registry
TBCK,Foundation-hosted,Cure TBCK registry,,platform description,,
TBCK,REDCap,CHOP NH,,platform description,,
TBCK,Sanford CoRDS,,,platform description,recorded under: TBCK-related neurodevelopmental disorder,https://research.sanfordhealth.org/rare-disease-registry
TSC1,Foundation-hosted,TSC Natural History Database (TSC Alliance); TSC Alliance Natural History Database,https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,own website,,
TSC1,REDCap,TOSCA international cohort,,platform description,,
TSC1,NIH RDCRN,,,platform description,,https://www.rarediseasesnetwork.org/
TSC1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
TSC2,Foundation-hosted,"Same, TSC Natural History Database; TSC Alliance Natural History Database",https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,own website,,
TSC2,REDCap,TOSCA international cohort,,platform description,,
TSC2,NIH RDCRN,,,platform description,,https://www.rarediseasesnetwork.org/
TSC2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
UBE3A,Foundation-hosted,LADDER database (Lifespan Angelman Database; ASF Clinics network,https://angelman.org/contactregistry/,own website,,
UBE3A,REDCap,"LADDER, Lifespan Angelman Database",,platform description,,
UBE3A,ClinicalTrials.gov,multiple industry-sponsored,,platform description,,
UBE3A,NIH RDCRN,,,platform description,,https://www.rarediseasesnetwork.org/
UBE3A,Sanford CoRDS,,,platform description,recorded under: Angelman syndrome,https://research.sanfordhealth.org/rare-disease-registry
YWHAG,Foundation-hosted,YWHAG Foundation patient registry (in development); YWHAG Foundation registry,https://www.ywhagfoundation.org/patient-registry,own website,,
YWHAG,Citizen Health,,,platform description,,https://www.citizen.health/
YWHAG,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ALDH7A1,Foundation-hosted,International PDE Registry ( PDE Online registry,https://pdeonline.org/,own website,,
ALDH7A1,REDCap,"CHARLIE consortium, charlie.science",,platform description,,
ALDH7A1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
AP4B1,ClinicalTrials.gov,"Boston Childrens Hospital AP-4-HSP Registry & NH Study (NCT04712812); NCT04712812, BCH",https://clinicaltrials.gov/study/NCT04712812,registry URL host,,
AP4B1,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
ATP1A3,Foundation-hosted,AHC Patient Registry (Duke / AHC Foundation); multiple country foundations,https://ahckids.org/wp-content/uploads/2015/08/Flyer-ClinicalRegistry.pdf,own website,,
ATP1A3,REDCap,Duke AHC NH study,,platform description,,
ATP1A3,Sanford CoRDS,,,platform description,recorded under: ATP1A3 related disorders,https://research.sanfordhealth.org/rare-disease-registry
DNM1,Foundation-hosted,Citizen Health partnership,https://patient.citizenhealth.com/,own website,,
DNM1,Citizen Health,,,platform description,,https://www.citizen.health/
DNM1,Sanford CoRDS,,,platform description,recorded under: DNM1 Gene Mutation / DNM1,https://research.sanfordhealth.org/rare-disease-registry
DYRK1A,Simons Searchlight,Working toward; SFARI Base,https://www.simonssearchlight.org/research/what-we-study/dyrk1a/,registry URL host,,https://www.simonssearchlight.org/
DYRK1A,Sanford CoRDS,,,platform description,recorded under: DYRK1A syndrome,https://research.sanfordhealth.org/rare-disease-registry
KCNMA1,Foundation-hosted,KCAF registry,,platform description,,
KCNMA1,REDCap,Univ. of Maryland NH,,platform description,,
KCNMA1,Sanford CoRDS,,,platform description,recorded under: KCNMA1 channelopathy,https://research.sanfordhealth.org/rare-disease-registry
KCNQ2,Foundation-hosted,"RIKEE, Rational Intervention for KCNQ2/3 Encephalopathy (international DB)",https://www.kcnq2cure.org/contact-registry-form/,own website,,
KCNQ2,REDCap,"RIKEE, Rational Intervention for KCNQ2/3 Encephalopathy",,platform description,,
KCNQ2,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
KCNQ2,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
KCNT1,Foundation-hosted,KCNT1 Epilepsy Foundation Patient Registry,https://www.kcnt1epilepsy.org/registry-information-original/,own website,,
KCNT1,NORD IAMRARE,KCNT1 International Registry,https://kcnt1.iamrare.org/,platform description,,https://rarediseases.org/iamrare-registry-program/
KCNT1,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
KCNT1,Sanford CoRDS,,,platform description,recorded under: Epilepsy of infancy with migrating focal seizures; E410K Syndrome = KCNT1 hotspot,https://research.sanfordhealth.org/rare-disease-registry
KCNT1,REDCap,,,platform description,multi-site NH studies,
KIF1A,Foundation-hosted,KIF1A.ORG NH study (Columbia / Wendy Chung),https://www.kif1a.org/research/,own website,,
KIF1A,REDCap,Columbia/Wendy Chung NH,,platform description,,
KIF1A,Citizen Health,,,platform description,,https://www.citizen.health/
KIF1A,Sanford CoRDS,,,platform description,recorded under: KIF1A-associated neurological disorder,https://research.sanfordhealth.org/rare-disease-registry
KMT2D,Foundation-hosted,All Things Kabuki registry,,platform description,,
KMT2D,Citizen Health,,,platform description,,https://www.citizen.health/
KMT2D,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
KMT2D,Sanford CoRDS,,,platform description,recorded under: Kabuki syndrome,https://research.sanfordhealth.org/rare-disease-registry
PAFAH1B1,Foundation-hosted,Lissencephaly Network registry,,platform description,,
PAFAH1B1,Sanford CoRDS,,,platform description,recorded under: Lissencephaly,https://research.sanfordhealth.org/rare-disease-registry
