source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
panelapp_au_epilepsy,TSC1,HGNC:12362,Green,"Tuberous sclerosis 1, MIM# 191100","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12362,id
panelapp_au_epilepsy,TSC2,HGNC:12363,Green,"Tuberous sclerosis 2, MIM# 613254","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12363,id
panelapp_au_epilepsy,TSEN15,HGNC:16791,Amber,"Pontocerebellar hypoplasia, type 2F MIM#617026","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:16791,id
panelapp_au_epilepsy,TSEN2,HGNC:28422,Green,"Pontocerebellar hypoplasia, type 2F, MIM#617026","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:28422,id
panelapp_au_epilepsy,TSEN34,HGNC:15506,Red,"Pontocerebellar hypoplasia type 2C, MIM#612390","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:15506,id
panelapp_au_epilepsy,TSEN54,HGNC:27561,Green,"Pontocerebellar hypoplasia type 2A, MIM# 277470","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:27561,id
panelapp_au_epilepsy,TSFM,HGNC:12367,Green,"Combined oxidative phosphorylation deficiency 3, MIM#610505","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12367,id
panelapp_au_epilepsy,TSPYL1,HGNC:12382,Green,Sudden infant death with dysgenesis of the testes syndrome - 608800; sudden infant death-dysgenesis of the testes syndrome MONDO:0012124,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12382,id
panelapp_au_epilepsy,TUBA1A,HGNC:20766,Green,"Lissencephaly 3, MIM# 611603","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20766,id
panelapp_au_epilepsy,TUBA8,HGNC:12410,Red,"Cortical dysplasia, complex, with other brain malformations 8, MIM#613180","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12410,id
panelapp_au_epilepsy,TUBB,HGNC:20778,Green,"Cortical dysplasia, complex, with other brain malformations 6, MIM# 615771","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20778,id
panelapp_au_epilepsy,TUBB2A,HGNC:12412,Green,"Cortical dysplasia, complex, with other brain malformations 5, MIM#615763","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12412,id
panelapp_au_epilepsy,TUBB2B,HGNC:30829,Green,"Cortical dysplasia, complex, with other brain malformations 7, MIM# 610031","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:30829,id
panelapp_au_epilepsy,TUBB3,HGNC:20772,Green,"Cortical dysplasia, complex, with other brain malformations 1, MIM# 614039","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20772,id
panelapp_au_epilepsy,TUBB4A,HGNC:20774,Green,"Leukodystrophy, hypomyelinating, 6, OMIM # 612438","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20774,id
panelapp_au_epilepsy,TUBG1,HGNC:12417,Green,"Cortical dysplasia, complex, with other brain malformations 4, MIM# 615412","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12417,id
panelapp_au_epilepsy,TUBGCP2,HGNC:18599,Green,"Pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures, OMIM # 618737","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:18599,id
panelapp_au_epilepsy,TUBGCP6,HGNC:18127,Green,"Microcephaly and chorioretinopathy, autosomal recessive, 1 - 251270; Epilepsy","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:18127,id
