hgnc_id,symbol,tier,domain,sources
HGNC:21061,SERAC1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:8583,SERPINE1,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sfari
HGNC:8943,SERPINI1,T1,epilepsy_primary,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_ge_epilepsy
HGNC:10760,SET,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:29010,SETD1A,T1,ndd_with_epilepsy,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:18420,SETD2,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:445,SETX,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_ge_id
HGNC:12950,SF1,T1,ndd_with_epilepsy,g2p_dd;genes4epilepsy;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:10768,SF3B1,T1,ndd_with_epilepsy,genes4epilepsy;orphadata_genes;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:10771,SF3B4,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id
HGNC:10802,SFTPC,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sysndd
HGNC:16088,SFXN4,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10805,SGCA,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id
HGNC:10817,SGPL1,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10818,SGSH,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:25228,SGSM3,T1,ndd_no_documented_epilepsy,g2p_dd;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:29605,SH2B3,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sysndd
HGNC:29242,SH3PXD2B,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:29427,SH3TC2,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_au_id;panelapp_ge_id
HGNC:10848,SHH,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10852,SHMT2,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10853,SHOX,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_id;sfari
HGNC:25543,SHQ1,T1,ndd_with_epilepsy,orphadata_genes;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:30422,SHROOM3,T1,ndd_no_documented_epilepsy,g2p_dd
HGNC:29215,SHROOM4,T1,ndd_with_epilepsy,clingen;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10857,SIAH1,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:11142,SIK1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:24624,SIL1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10882,SIM1,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes
HGNC:19353,SIN3A,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:19354,SIN3B,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:10887,SIX1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:10889,SIX3,T1,ndd_with_epilepsy,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10891,SIX5,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:10896,SKI,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sfari;sysndd
HGNC:10898,SKIC2,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:23639,SKIC3,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:32695,SKOR2,T1,ndd_no_documented_epilepsy,panelapp_au_id;panelapp_ge_id;sysndd
HGNC:23088,SLC10A7,T1,ndd_no_documented_epilepsy,clingen;g2p_dd
HGNC:10910,SLC12A1,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;panelapp_au_id
HGNC:10911,SLC12A2,T1,ndd_no_documented_epilepsy,orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:13818,SLC12A5,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:10914,SLC12A6,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:14430,SLC13A3,T1,epilepsy_only_unclassified,panelapp_au_epilepsy;panelapp_ge_epilepsy
HGNC:10923,SLC16A2,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10933,SLC17A5,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10935,SLC18A2,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;sysndd
HGNC:16266,SLC19A3,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd
